Topic Name,Date,Class Type,Pre-Note,Post Note
Assignment 3 online,"November 2, 2023",Assignment Release,,
Assignment 2 Due,"November 2, 2023",Assignment Due,,
Lecture 12: Gradient Compression,"November 2, 2023",Lecture,https://wpi0-my.sharepoint.com/:b:/g/personal/bislam_wpi_edu/ESF84JQLMsRFuS2OUVhdREsBIgNd8mjQovlP8M6Ttto2Dw?e=rty9NU,https://wpi0-my.sharepoint.com/:b:/g/personal/bislam_wpi_edu/EQn7RDm81mNDvuQhqZnQdnsBGh5dQFfUz3gwhiHw49-yrg?e=iXfO27
"Paper Presentation 6: Distributed Training and Gradient Compression ","November 7, 2023",Paper Presentation,,
Lecture 13: On-Device Training and Transfer Learning (Part I),"November 9, 2023",Lecture,https://wpi0-my.sharepoint.com/:b:/g/personal/bislam_wpi_edu/EYKlilaYXVRFv9GNpU7O21IBdkY1gcuBfdkImnoCVqDPQg?e=zNdHXC,https://wpi0-my.sharepoint.com/personal/bislam_wpi_edu/_layouts/15/onedrive.aspx?FolderCTID=0x0120006F87FA354EDDE14ABDDBBED3249BF088&id=%2Fpersonal%2Fbislam%5Fwpi%5Fedu%2FDocuments%2FCourse%2FECE579%5FOn%5FDevice%5FDeep%5FLearning%2FPost%2FLecture%2013%5FOn%2DDevice%20Training%20and%20Transfer%20Learning%20%2Epdf&parent=%2Fpersonal%2Fbislam%5Fwpi%5Fedu%2FDocuments%2FCourse%2FECE579%5FOn%5FDevice%5FDeep%5FLearning%2FPost
Lecture 14: On-Device Training and Transfer Learning (Part II),"November 14, 2023",Lecture,https://wpi0-my.sharepoint.com/:b:/g/personal/bislam_wpi_edu/ERqOG1ApempEtLxm97bxe54BUeJYgdncc60C3FTUrPo6lg?e=5kD1aG,https://wpi0-my.sharepoint.com/:b:/g/personal/bislam_wpi_edu/Ecu18zMcmwdDkrgxwdXfL-gB5zzPQ_Kku6ojehyS2RC6mA?e=JObmEM
"Paper Presentation on On-Device Training ","November 16, 2023",Paper Presentation,,
Lecture 15: Efficient Training and Inference on Microcontrollers,"November 21, 2023",Lecture,https://wpi0-my.sharepoint.com/:b:/g/personal/bislam_wpi_edu/EYBvJjQp1OBDlKcbsDc2KscB6vQJbartKxO-wyTKYBZekA?e=f13Qo5,
Assignment 3 Due,"November 28, 2023",Assignment Due,,
Paper Presentation on Transfer Learning,"November 28, 2023",Paper Presentation,,
Course Feedback and Question Answering,"November 30, 2023",Discussion,,
Paper Presentation on Efficient Training and Inference on Microcontrollers,"December 5, 2023",Paper Presentation,,
Final Project Presentation (3 hr),"December 7, 2023",Project Presentation,,
Project Report Submission,"December 14, 2023",,,
,,,,
